y,m,district,year
1.8268478552231864,2.3457762303999785,17th District – Albany Park,2017
7.271675675914654,9.337243879925813,18th District – Near North,2017
2.2536327289288165,2.8937922074122593,19th District – Town Hall,2017
3.618197201215036,4.6459703621421955,20th District – Lincoln,2017
2.0681415319515635,2.6556109929374934,22nd District – Morgan Park,2017
3.1459750454217863,4.039610338585275,24th District – Rogers Park,2017
2.1524812537482254,2.7639079778798905,25th District – Grand Central,2017
19.585197358441093,25.221632519712877,1st District – Central,2018
5.545736486768616,7.141747165501879,2nd District – Wentworth,2018
9.395516104164166,12.099457063175333,3rd District – Grand Crossing,2018
2.8283620848760522,3.6423380286585387,4th District – South Chicago,2018
5.526979162489431,7.117591660128898,5th District – Calumet,2018
6.926940952840704,8.92044925567215,6th District – Gresham,2018
8.784884875810668,11.313091923997657,7th District – Englewood,2018
1.0138656000893205,1.305646561626806,8th District – Chicago Lawn,2018
1.8985799861128154,2.444973407346378,9th District – Deering,2018
5.09337056123593,6.559194591258463,10th District – Ogden,2018
11.045828497792732,14.224713805451048,11th District – Harrison,2018
3.2224944232054256,4.149897938295815,12th District – Near West,2018
4.014996707757948,5.170474909066134,14th District – Shakespeare,2018
14.736835367314802,18.97795765523533,15th District – Austin,2018
0.7411534577072372,0.9544504356475064,16th District – Jefferson Park,2018
1.8579886579602372,2.3927002776242436,17th District – Albany Park,2018
8.437372401466694,10.865568635694295,18th District – Near North,2018
2.1919072483102453,2.82271749027585,19th District – Town Hall,2018
3.8250700147862284,4.925889104381737,20th District – Lincoln,2018
2.0327907689982476,2.6178087882806644,22nd District – Morgan Park,2018
3.275032093102914,4.217555454293495,24th District – Rogers Park,2018
2.0134822920141047,2.592943513650205,25th District – Grand Central,2018
